% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=866941, Tue May 20 18:53:36 2025, <python>{}</python>
1 7 0.5819786649921409 1.0000333338888951 -742.2093290698652 -7.4220932906986525e+02 506.7953042414706 586.8838831743349 252.72128681960726   
2 14 0.6010021901532706 1.5642222106657582 -2000.6391027859888 -2.0006391027859888e+03 450.41722705919454 540.3817577424912 101.88985442738709   
3 21 0.6217801939833066 2.053914983523979 -2110.893724697253 -2.1108937246972532e+03 -1077.5779548575845 591.0668906037661 1707.273705011636   
4 28 0.6872481665469282 1.9392955333319373 -2225.8915348457094 -2.2258915348457094e+03 -816.0660548378686 557.8027747191927 2371.2490119555846   
5 35 0.769809406532426 2.04072834134119 -2510.650822845534 -2.5106508228455341e+03 -815.4964595868418 459.13625129745543 1607.5287055272345   
6 42 0.7600490770790677 2.5390493011739683 -2510.650822845534 -2.0877566807127610e+03 -663.7976064508866 108.52704548805704 1637.6221019091897   
7 49 0.6356956392976818 2.3306146895356985 -2533.3114456059593 -2.5333114456059593e+03 -1474.9777805088231 239.08185141044947 1383.701194981941   
8 56 0.6537168239590894 2.3121144928470407 -2533.3114456059593 -2.2614352600685893e+03 -2040.3364370392624 305.37034616177164 791.665486361924   
9 63 0.5983335919225695 2.2280935988332784 -2544.893463327008 -2.5448934633270078e+03 -2194.4541489455055 -1825.4894909828915 244.44077178931548   
10 70 0.48657410081522334 2.323469874552954 -2544.893463327008 -2.5140474916636485e+03 -2155.530234329866 -1446.8669586986052 365.6006164229309   
11 77 0.4294416944017641 2.3672368649858706 -2593.050421140117 -2.5930504211401171e+03 -1966.2853759401048 -1557.0000423094557 518.6678278408515   
12 84 0.328432816358058 2.356062874273534 -2593.050421140117 -2.5488543494288315e+03 -2295.51974611059 -1713.4607419972199 479.69655362456047   
13 91 0.2771466942121863 2.084201543554095 -2616.4936463162585 -2.6164936463162585e+03 -2527.6379933777143 -2284.6943352615535 217.58740425812812   
14 98 0.24692253471212766 2.144530183446612 -2722.761057803808 -2.7227610578038079e+03 -2572.8375585644562 -2442.399584497585 63.19988120096605   
15 105 0.1988962959570685 2.550176866032496 -2758.0843136340986 -2.7580843136340986e+03 -2595.3449983199835 -2219.945826793396 140.66350814566886   
16 112 0.16462714191151062 2.509837286151204 -2807.6637724978164 -2.8076637724978164e+03 -2625.5384771418253 -2478.7586299185314 205.1702244894518   
17 119 0.12794777466005666 2.580224441038603 -2833.0926739264787 -2.8330926739264787e+03 -2656.323181657177 -2463.369288758019 101.69411017997254   
18 126 0.09688730604223987 2.4883053040954337 -2833.0926739264787 -2.7215759045800396e+03 -2640.6735083907 -2624.624452367537 71.57319685441553   
19 133 0.08498010210147915 2.102037100810714 -2833.0926739264787 -2.7888978757849673e+03 -2658.41220466908 -2492.6964677445167 196.875794086709   
20 140 0.07926350793268723 1.810543982512765 -2833.0926739264787 -2.7948595065386835e+03 -2705.689057303955 -2620.8714008852908 85.1860349823537   
21 147 0.09294715577289475 2.059553333859869 -2833.0926739264787 -2.7967753783881044e+03 -2678.6529014458188 -2528.6737281642954 107.64978170925406   
22 154 0.11733535202536724 2.5603310865338393 -2833.0926739264787 -2.8278177374611887e+03 -2642.7739820821407 -2586.194853792643 147.7216452502662   
23 161 0.09620204561855003 3.15300694089734 -2833.0926739264787 -2.7971146768604349e+03 -2715.7705279775364 -2527.0693957578437 48.282310940619936   
24 168 0.0976369815164921 3.1697670179845474 -2833.0926739264787 -2.7903053285686337e+03 -2700.0981790490996 -2614.5172232385175 93.98587349105082   
25 175 0.11667629738805219 2.6414258204489016 -2833.0926739264787 -2.6909261927243560e+03 -2651.683699791761 -2390.5004579654264 104.17851167584331   
26 182 0.12472938250517693 2.8258100556718584 -2833.0926739264787 -2.8310270402205433e+03 -2720.403370131587 -2603.916170011682 112.56597361761487   
27 189 0.13400046026034262 2.8426372990162223 -2833.0926739264787 -2.7697365615745866e+03 -2739.1651786555785 -2625.0857891182404 56.38749977163525   
28 196 0.12827055156040504 3.2619072529728097 -2833.0926739264787 -2.7443273753988624e+03 -2730.790929171429 -2688.473478183598 51.58255605801105   
29 203 0.14338658930116602 3.3891001134851724 -2891.7390381332452 -2.8917390381332452e+03 -2687.0212831124786 -2555.4107272830415 79.56326359423883   
30 210 0.16412384585255996 3.408878512313561 -2891.7390381332452 -2.7478247416265685e+03 -2665.8146699315357 -2516.9499875381234 143.5413720029851   
