% # columns="iteration, evaluation, void, void, void, xmean", seed=866941, Tue May 20 18:53:36 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 0.582055580626024 -0.22678833642126114 0.6178273435771311
2 14 0 0 0 0.6567695949421909 -0.03729988197999156 0.9576603084783403
3 21 0 0 0 1.2660086810259057 -0.3041750604892204 1.0210730150014964
4 28 0 0 0 0.9623825139573879 0.3291366941757956 1.641723779787814
5 35 0 0 0 1.258436355349254 0.6359565537788519 2.1525544709414604
6 42 0 0 0 0.795057729637231 0.15798397723178875 2.0549952370375073
7 49 0 0 0 0.7048943979960836 0.6019603414301822 2.0854497493477404
8 56 0 0 0 0.5415330756932522 1.2292738679795934 2.278270948469757
9 63 0 0 0 0.726794671347774 1.2043195036218386 2.6975513014890664
10 70 0 0 0 0.7263438922185877 0.9526453847174708 2.6047399240622817
11 77 0 0 0 0.9270073102355908 1.078608009401616 2.5288626430564767
12 84 0 0 0 0.840345371078952 0.9500318553882297 2.453454124744147
13 91 0 0 0 0.8990470569803272 0.8370905728111238 2.443999901414815
14 98 0 0 0 0.8313903220021118 1.0541654441905373 2.523884888563305
15 105 0 0 0 0.841800921005635 0.9747252389711278 2.5398489821427006
16 112 0 0 0 0.8462975468392953 0.9369064178877321 2.5447341068967986
17 119 0 0 0 0.8599464196758564 0.9670287878096389 2.5330348213759937
18 126 0 0 0 0.8476845611903101 0.951520277678148 2.529647295589916
19 133 0 0 0 0.8361465429972145 0.9713057266136481 2.518339814568296
20 140 0 0 0 0.8250241387455446 0.9530991602135195 2.499856698101493
21 147 0 0 0 0.8165939820683294 1.0295863921784711 2.53298478047112
22 154 0 0 0 0.839336047455924 1.0872058370291584 2.5788369323275404
23 161 0 0 0 0.8445337790433141 1.008427594445016 2.5412436041419553
24 168 0 0 0 0.8747342186312059 0.9916876775687525 2.537925319802433
25 175 0 0 0 0.8950927529389178 1.0566671649931867 2.57022877789564
26 182 0 0 0 0.8475401302088293 1.100250439679772 2.5577122639014167
27 189 0 0 0 0.8412541827573972 1.1612088776261429 2.580330106830219
28 196 0 0 0 0.8210062700714457 1.1878055282762978 2.582339962234592
29 203 0 0 0 0.8294437563710214 1.249825734531271 2.590526869357242
30 210 0 0 0 0.8058982021822717 1.3371543809287905 2.6036716280694123
